date,steps,min_temp ,max_temp,rainfall,evaporation,sunshine ,wind_gust_dir,wind_gust_speed,wind_gust_time,temp_9am,humidity_9am,cloud_9am,wind_dir_9am,wind_speed_9am,pressure_9am,temp_3pm,humidity_3pm,cloud_3pm,wind_dir_3pm,wind_speed_3pm,pressure_3pm
2024-10-1,10165,9.3,22.8,0,,,E,33,16:16,18.2,62,,N,7,,20.5,56,,E,19,
2024-10-2,8410,15,19.5,3,,,ESE,37,14:05,15,92,,SSW,11,,18.6,59,,SE,15,
2024-10-3,8248,13.1,20.3,0,,,E,31,13:56,19.2,59,,ENE,9,,18.4,56,,E,17,
2024-10-4,14193,8.3,24.6,0,,,NE,24,16:58,17.7,66,,W,4,,23.7,48,,NE,9,
2024-10-5,12063,14.6,27.2,1.8,,,W,43,11:09,22.5,60,,WNW,11,,25.6,32,,W,13,
2024-10-6,9302,12.2,28.4,0.2,,,NW,43,14:12,21.4,47,,WNW,15,,28.2,25,,WNW,19,
2024-10-7,15055,10.7,29.5,0,,,SSE,50,23:00,21.5,54,,NNW,7,,29.1,28,,W,19,
2024-10-8,5959,14.4,16,0,,,SE,46,0:18,15.5,77,,SSE,13,,15.4,63,,SSE,15,
2024-10-9,4443,13.5,17,0.2,,,ESE,31,12:01,15.8,57,,S,9,,16.3,64,,SE,11,
2024-10-10,7264,11.4,25.7,0,,,E,30,14:39,16.4,78,,NNW,7,,24.6,42,,N,4,
2024-10-11,14833,13.8,25.2,0.2,,,E,26,14:55,18.9,74,,W,7,,23.7,60,,E,15,
2024-10-12,7850,15.7,18.5,0,,,S,43,0:00,16.5,68,,SSE,17,,17.6,54,,SSE,20,
2024-10-13,7352,10.7,21.3,0.4,,,E,37,15:58,14.7,81,,NW,7,,20.1,50,,ENE,11,
2024-10-14,13760,10.7,27.3,0,,,SSE,50,14:21,17.4,67,,NW,4,,21.7,66,,SSE,20,
2024-10-15,4579,14.1,17.9,9,,,SSE,30,9:19,15.9,87,,SSE,13,,16.9,65,,SE,13,
2024-10-16,13624,12.6,20.4,1,,,NW,19,16:47,17.3,62,,SSW,6,,18.7,49,,ESE,9,
2024-10-17,10039,8.6,24.8,0,,,,,,16.3,83,,WNW,6,,23.9,54,,ESE,17,
2024-10-18,8092,16.1,26.8,,,,SW,37,18:44,18.7,90,,,Calm,,24.6,59,,N,7,
2024-10-19,6795,15.2,25.3,4.4,,,ESE,30,11:38,21.1,70,,W,9,,21,77,,ESE,19,
2024-10-20,10250,16.3,21.8,1.4,,,ESE,39,14:08,19.2,62,,S,17,,21.1,59,,SE,22,
2024-10-21,8241,15.8,21.4,0.2,,,S,43,9:39,17.2,64,,SSW,11,,20.1,55,,SSE,22,
2024-10-22,11694,12.2,25.1,0,,,E,24,13:41,17.5,59,,WSW,7,,23.7,47,,E,15,
2024-10-23,8786,11.6,30.3,0,,,SE,35,16:59,19.5,73,,W,6,,28.4,47,,E,11,
2024-10-24,9368,14.6,22.3,0,,,E,41,12:46,20.5,65,,SE,19,,20.9,59,,E,20,
2024-10-25,2925,11.1,22.7,3.6,,,SE,41,13:53,16.5,54,,WNW,11,,20,56,,SE,26,
2024-10-26,10875,12.3,20,0,,,E,31,12:10,15.7,39,,WSW,7,,19.1,38,,SE,19,
2024-10-27,9116,9.6,26.8,0,,,NE,26,16:30,17.2,62,,WNW,7,,26.1,38,,ENE,13,
2024-10-28,14022,12.4,26.9,0,,,ESE,44,14:08,21.5,52,,WNW,9,,21.8,66,,SE,24,
2024-10-29,15106,16.1,24.8,0,,,E,33,14:49,19.4,63,,N,9,,23,54,,E,19,
2024-10-30,3439,17.2,27.4,0,,,E,31,15:35,21,64,,NNW,9,,26.8,49,,E,13,
2024-10-31,6614,14.3,30.9,0,,,SSE,41,16:50,21.2,73,,W,4,,23.8,53,,SSE,20,
2024-11-1,5498,15.8,23.1,4.8,,,E,33,14:24,20.7,60,,SE,11,,22.1,56,,E,19,
2024-11-2,4336,15.9,22.9,0,,,SSE,30,0:52,17.8,71,,SE,13,,18.9,77,,NE,9,
2024-11-3,3773,14.5,33,1.2,,,N,37,10:48,22.9,70,,SW,2,,32.2,29,,WNW,11,
2024-11-4,4255,18.5,21.9,0,,,ESE,26,2:05,19.1,80,,ESE,15,,19.2,82,,ENE,9,
2024-11-5,3135,18,23.8,0,,,ESE,28,12:35,19.9,76,,E,6,,23,63,,E,13,
2024-11-6,6665,16.3,30.7,0,,,E,28,13:11,22.4,74,,NNE,9,,28.4,60,,SE,19,
2024-11-7,3441,20.2,34.3,0,,,SE,31,12:15,23.9,82,,SE,2,,23.5,71,,E,17,
2024-11-8,6824,15,31.3,4.2,,,WNW,41,15:49,21.6,55,,WSW,13,,30.7,21,,W,15,
2024-11-9,5402,16.6,24.7,0.2,,,S,33,23:10,21.7,67,,SSE,4,,24,52,,E,17,
2024-11-10,2904,18.9,27.5,0,,,SE,50,13:11,23.6,70,,SSW,11,,22.8,64,,SE,28,
2024-11-11,7447,15.5,21.5,0,,,SSE,22,23:06,19.1,72,,SSE,11,,19.7,81,,SSE,9,
2024-11-12,7218,17,25.4,0,,,E,28,15:01,21.3,76,,SE,11,,24.7,62,,E,15,
2024-11-13,11085,17.5,26.6,0,,,E,24,16:20,20.2,78,,NNW,9,,24.7,61,,E,11,
2024-11-14,10742,17.5,21.8,0.2,,,SSE,35,8:47,18.2,82,,S,15,,20.6,69,,SE,19,
